"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT5G09220","AT5G09220","Chir06Ox-b30110.2","AAP2",0.127,0.002,NA,NA,"acidic amino acid transport, amino acid transmembrane transport, amino acid transmembrane transporter activity, amino acid transport, membrane, neutral amino acid transport, phloem loading, plasma membrane","GEP_9",11
"AT5G17450","AT5G17450","Chir06Ox-b21880.2","AtHMP45",0.6605,0.002,NA,NA,"cadmium ion homeostasis, detoxification of cadmium ion, metal ion binding, metal ion transport, nucleus","DEGs",12
"AT5G27690","AT5G27690","Chir06Ox-b12610.2","AT5G27690.1",0.883,0.002,NA,NA,"cellular response to hormone stimulus, nucleus, oxoacid metabolic process, protein binding","DEGs",13
"AT5G43380","AT5G43380","Chir06Ox-b06140.2","TOPP6",0.8605,0.0025,NA,NA,"aging, cytoplasm, mitochondrion, myosin phosphatase activity, nucleus, protein dephosphorylation, protein serine/threonine phosphatase activity, response to light stimulus","DEGs",14
"AT2G30540","AT2G30540","Chir04Ox-b12270.2","ROXY7",0.5095,0.004,NA,NA,"cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding","DEGs",15
"AT4G19840","AT4G19840","Chir07Ox-b16700.2","ATPP2-A1",0.5575,0.004,NA,NA,"carbohydrate binding, proteoglycan binding, response to insect","DEGs",16
"AT1G10380","AT1G10380","Chir01Ox-b10090.2","AT1G10380.1",0.531,0.0045,NA,NA,"extracellular region, plant-type cell wall organization or biogenesis, polysaccharide binding, response to light stimulus","DEGs",17
"AT3G21600","AT3G21600","Chir03Ox-b21760.2","MIL23.17",0.8745,0.0045,NA,NA,"molecular_function, nucleus, plasma membrane, response to inorganic substance, secondary metabolic process","DEGs",18
"AT1G06830","AT1G06830","Chir01Ox-b06200.2","CEPD1",0.383,0.0065,NA,NA,"cellular response to nitrogen starvation, cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding","DEGs",19
"AT1G79430","AT1G79430","Chir02Ox-b26600.2","WDY",0.957,0.0075,"Yes","G2-like","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development","DEGs",20
"AT4G34560","AT4G34560","Chir07Ox-b32000.2","T4L20.140",0.4705,0.0105,NA,NA,"cellular carbohydrate metabolic process, chloroplast, molecular_function","DEGs",21
"AT5G63850","AT5G63850","Chir08Ox-b26390.2","AAP4",0.428,0.012,NA,NA,"acidic amino acid transmembrane transporter activity, amino acid transmembrane transport, amino acid transmembrane transporter activity, amino acid transport, membrane, neutral amino acid transmembrane transporter activity, plasma membrane, primary active transmembrane transporter activity, transmembrane transport","DEGs",22
"AT1G07640","AT1G07640","Chir01Ox-b07120.2","OBP2",0.675,0.0175,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding","DEGs",23
"AT5G24800","AT5G24800","Chir06Ox-b14960.2","ATBZIP9",0.4215,0.0235,"Yes","bZIP","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",24
"AT3G45610","AT3G45610","Chir05Ox-b10420.2","AT3G45610.1",0.589,0.025,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding","DEGs",25
"AT4G36710","AT4G36710","Chir07Ox-b34150.2","HAM4",0.6815,0.04,"Yes","GRAS","cell differentiation, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of shoot system development, sequence-specific DNA binding","DEGs",26
"AT1G69580","AT1G69580","Chir02Ox-b16030.2","AT1G69580.1",0.602,0.043,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs",27
"AT4G24060","AT4G24060","Chir07Ox-b21070.2","Dof4.6",0.6915,0.0765,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs",28
"AT1G10120","AT1G10120","Chir01Ox-b09820.2","CIB4",0.6635,0.2685,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, response to blue light, transcription cis-regulatory region binding","DEGs",29
"AT4G37180","AT4G37180","Chir07Ox-b34380.2","HHO5",0.745,0.2935,"Yes","G2-like","cytosol, DNA binding, DNA-binding transcription factor activity, floral organ formation, negative regulation of gene expression, nucleus, protein binding, regulation of DNA-templated transcription, specification of plant organ identity, transcription cis-regulatory region binding","DEGs",30
