"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT5G10510","AT5G10510","Chir06Ox-b28760.2","AIL6",0.4515,0.023,"Yes","AP2","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, flower development, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, organ growth, phyllotactic patterning, plant organ morphogenesis, regulation of DNA-templated transcription, regulation of floral meristem growth, root development, transcription cis-regulatory region binding","DEGs",12
"AT3G62100","AT3G62100","Chir05Ox-b27800.2","AT3G62100.1",0.369,0.032,NA,NA,"DNA-binding transcription factor activity, gravitropism, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, somatic embryogenesis, transcription cis-regulatory region binding","GEP_19 and DEGs",13
"AT1G69580","AT1G69580","Chir02Ox-b16030.2","AT1G69580.1",0.274,0.0345,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs",14
"AT2G38800","AT2G38800","Chir04Ox-b21350.2","F13I13.3",0.362,0.036,NA,NA,"calmodulin binding, cellular catabolic process, cellular response to abscisic acid stimulus, hormone-mediated signaling pathway, nucleus, response to light intensity, response to salt stress, response to water deprivation","DEGs",15
"AT5G60200","AT5G60200","Chir08Ox-b22680.2","DOF5.3",0.658,0.047,"Yes","Dof","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding","GEP_19 and DEGs",16
"AT1G73590","AT1G73590","Chir02Ox-b20320.2","PIN1",0.547,0.05,NA,NA,"apical part of cell, auxin efflux transmembrane transporter activity, auxin export across the plasma membrane, auxin homeostasis, auxin polar transport, basal plasma membrane, cotyledon development, cotyledon morphogenesis, cytoplasm, embryo development ending in seed dormancy, endoplasmic reticulum, flower development, gravitropism, inflorescence development, leaf formation, leaf shaping, phosphorylation, photomorphogenesis, plant-type cell wall, plasma membrane, plasmodesma, protein binding, root development, shoot system development, xylem and phloem pattern formation","GEP_19 and DEGs",17
"AT1G29160","AT1G29160","Chir01Ox-b27710.2","COG1",0.177,0.055,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, seed coat development, transcription cis-regulatory region binding","DEGs",18
"AT5G01370","AT5G01370","Chir06Ox-b37330.2","TRM29",0.518,0.062,NA,NA,"fruit dehiscence, nucleus, protein binding","GEP_19 and DEGs",19
"AT2G21050","AT2G21050","Chir04Ox-b00160.2","LAX2",0.606,0.064,NA,NA,"amino acid transmembrane transport, amino acid transmembrane transporter activity, cotyledon vascular tissue pattern formation, membrane, plasma membrane, response to nematode, root cap development","GEP_19 and DEGs",20
"AT3G63300","AT3G63300","Chir05Ox-b28960.2","AT3G63300.1",0.715,0.069,NA,NA,"auxin-activated signaling pathway, chloroplast, leaf vascular tissue pattern formation, nucleus, phloem or xylem histogenesis, phosphatidylinositol binding, post-Golgi vesicle-mediated transport, protein binding, response to auxin, signal transduction, trans-Golgi network","GEP_19 and DEGs",21
"AT5G57130","AT5G57130","Chir08Ox-b19320.2","SMXL5",0.674,0.077,NA,NA,"carbohydrate homeostasis, cellular_component, phloem transport","GEP_19 and DEGs",22
"AT3G50410","AT3G50410","Chir05Ox-b15760.2","DOF3.4",0.556,0.107,"Yes","Dof","cell wall modification, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of cell cycle, positive regulation of DNA-templated transcription, protein binding, response to auxin, response to salicylic acid, transcription cis-regulatory region binding, zinc ion binding","DEGs",23
"AT5G12050","AT5G12050","Chir06Ox-b27080.2","BG1",0.48,0.117,NA,NA,"auxin transport, circadian rhythm, molecular_function, nucleus, plasma membrane, positive regulation of auxin mediated signaling pathway","DEGs",24
"AT1G19850","AT1G19850","Chir01Ox-b19750.2","ARF5",0.688,0.1245,"Yes","ARF","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, identical protein binding, leaf vascular tissue pattern formation, longitudinal axis specification, meristem development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, transcription cis-regulatory region binding, xylem and phloem pattern formation","DEGs",25
"AT2G02130","AT2G02130","Chir05Ox-b01200.2","PDF2.3",0.756,0.146,NA,NA,"cellular lipid metabolic process, defense response, extracellular region, lipid biosynthetic process, mitochondrion, plant-type cell wall, plasmodesma","DEGs",26
"AT2G30590","AT2G30590","Chir04Ox-b12350.2","WRKY21",0.5595,0.186,"Yes","WRKY","calmodulin binding, DNA-binding transcription factor activity, glucosinolate metabolic process, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",27
"AT3G16500","AT3G16500","Chir03Ox-b16290.2","IAA26",0.558,0.2295,NA,NA,"DNA-binding transcription factor activity, identical protein binding, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin","DEGs",28
"AT1G18250","AT1G18250","Chir01Ox-b18250.2","AT1G18250.1",0.745,0.357,NA,NA,"defense response, extracellular region","DEGs",29
"AT2G28790","AT2G28790","Chir04Ox-b10440.2","F8N16.8",0.8995,0.446,NA,NA,"defense response, extracellular region, molecular_function, plant-type cell wall, plasmodesma, secretory vesicle","DEGs",30
