"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT1G16960","AT1G16960","Chir01Ox-b17020.2","F17F16.18",0.542,0.011,NA,NA,"biological_process, cytoplasm, molecular_function","GEP_46 and DEGs",11
"AT1G10060","AT1G10060","Chir01Ox-b09770.2","ATBCAT-1",0.436,0.012,NA,NA,"branched-chain-amino-acid transaminase activity, carboxylic acid biosynthetic process, chloroplast, cytoplasm, L-isoleucine transaminase activity, L-leucine transaminase activity, L-valine transaminase activity, leucine catabolic process, mitochondrion, organonitrogen compound catabolic process, protein binding, response to light stimulus, valine catabolic process","GEP_46",12
"AT3G26960","AT3G26960","Chir05Ox-b04350.2","MOJ10.4",0.304,0.016,NA,NA,"extracellular region, molecular_function, pattern specification process, response to light stimulus, shoot system development","DEGs",13
"AT1G71050","AT1G71050","Chir02Ox-b17620.2","HIPP20",0.274,0.018,NA,NA,"cadmium ion homeostasis, cytoplasm, detoxification of cadmium ion, molecular_function","DEGs",14
"AT5G66400","AT5G66400","Chir08Ox-b30170.2","RAB18",0.171,0.02,NA,NA,"cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation","GEP_46 and DEGs",15
"AT5G66440","AT5G66440","Chir08Ox-b30160.2","K1F13.9",0.514,0.0205,NA,NA,"defense response to other organism, molecular_function, nucleus, regulation of developmental process, response to fungus","DEGs",16
"AT4G02940","AT4G02940","Chir08Ox-b03180.2","ALKBH10B",0.384,0.024,NA,NA,"demethylase activity, mRNA binding, mRNA catabolic process, mRNA N6-methyladenosine dioxygenase activity, oxidative RNA demethylation, vegetative to reproductive phase transition of meristem","GEP_46 and DEGs",17
"AT5G23400","AT5G23400","Chir06Ox-b16320.2","K19M13.1",0.126,0.0345,NA,NA,"extracellular region, molecular_function, plant-type cell wall, plasmodesma, signal transduction","DEGs",18
"AT3G20860","AT3G20860","Chir03Ox-b20920.2","ATNEK5",0.592,0.0505,NA,NA,"cortical microtubule organization, lateral root formation, negative regulation of ethylene biosynthetic process, nucleus, protein phosphorylation, protein serine/threonine kinase activity","DEGs",19
"AT3G50900","AT3G50900","Chir05Ox-b16270.2","F18B3.180",0.421,0.058,NA,NA,"defense response to bacterium, mitochondrion, molecular_function, response to fungus, response to jasmonic acid, secondary metabolic process","GEP_46",20
"AT2G47485","AT2G47485","Chir04Ox-b30440.2","AT2G47485.1",0.616,0.062,NA,NA,"inorganic ion homeostasis, mitochondrion, monocarboxylic acid metabolic process","GEP_46 and DEGs",21
"AT4G18280","AT4G18280","Chir07Ox-b15170.2","GRPL1",0.573,0.063,NA,NA,"cellular_component, molecular_function, response to stress","GEP_46 and DEGs",22
"AT3G22760","AT3G22760","Chir03Ox-b22760.2","SOL1",0.455,0.0935,"Yes","CPP","DNA-binding transcription factor activity, mitotic G1 phase, mitotic G2 phase, mitotic S phase, nucleus, stomatal complex patterning, stomatal lineage progression, transcription cis-regulatory region binding","DEGs",23
"AT1G62300","AT1G62300","Chir02Ox-b03290.2","WRKY6",0.5105,0.095,"Yes","WRKY","cellular response to boron-containing substance deprivation, cellular response to phosphate starvation, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, protein binding, transcription cis-regulatory region binding","DEGs",24
"AT3G28910","AT3G28910","Chir05Ox-b06840.2","ATMYB30",0.7545,0.1465,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process","DEGs",25
"AT4G04890","AT4G04890","Chir08Ox-b04440.2","AT4G04890.1",0.5,0.148,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding","DEGs",26
"AT1G53060","AT1G53060","Chir01Ox-b41920.2","AT1G53060.1",0.638,0.1575,NA,NA,"nucleus, response to inorganic substance, root development, tetrapyrrole metabolic process","DEGs",27
"AT5G06710","AT5G06710","Chir06Ox-b32290.2","HAT14",0.6925,0.2125,"Yes","HD-ZIP","defense response, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of DNA-templated transcription, response to bacterium, response to light stimulus, shoot system morphogenesis, signal transduction, tissue development, transcription cis-regulatory region binding","DEGs",28
"AT4G37790","AT4G37790","Chir07Ox-b35230.2","HAT22",0.7495,0.2465,"Yes","HD-ZIP","abscisic acid-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, response to abscisic acid, response to cytokinin, response to water deprivation, transcription cis-regulatory region binding","DEGs",29
"AT3G26744","AT3G26744","Chir05Ox-b04050.2","ICE1",0.845,0.4075,"Yes","bHLH","abscisic acid-activated signaling pathway, cis-regulatory region sequence-specific DNA binding, core promoter sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, endosperm development, negative regulation of DNA-templated transcription, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of abscisic acid biosynthetic process, regulation of DNA-templated transcription, response to cold, response to freezing, seed dormancy process, seed morphogenesis, sequence-specific DNA binding, stomatal lineage progression, transcription cis-regulatory region binding","DEGs",30
