"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT1G26945","AT1G26945","Chir01Ox-b24250.2","PRE6",0.233,0.0785,"Yes","bHLH","nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of growth, response to light stimulus","DEGs",12
"AT3G55240","AT3G55240","Chir05Ox-b20810.2","T26I12.120",0.272,0.079,NA,NA,"chloroplast, developmental process, molecular_function","GEP_7",13
"AT3G46490","AT3G46490","Chir05Ox-b11620.2","F12A12.10",0.516,0.095,NA,NA,"cytoplasm, molecular_function, plant epidermis development","GEP_7",14
"AT3G48100","AT3G48100","Chir05Ox-b12990.2","ARR5",0.548,0.1005,NA,NA,"circadian rhythm, cytokinin-activated signaling pathway, cytoplasm, nucleus, phosphorelay response regulator activity, protein binding, regulation of DNA-templated transcription, response to cytokinin, response to red light","DEGs",15
"AT2G42610","AT2G42610","Chir04Ox-b25400.2","LSH10",0.8065,0.1035,NA,NA,"cellular developmental process, glucosinolate metabolic process, molecular_function, mRNA transcription, nucleus, oxoacid metabolic process, post-embryonic plant morphogenesis, regionalization, response to light intensity, response to light stimulus, stomatal complex development","DEGs",16
"AT1G69780","AT1G69780","Chir02Ox-b16260.2","ATHB13",0.593,0.136,"Yes","HD-ZIP","cotyledon morphogenesis, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leaf morphogenesis, nucleus, positive regulation of DNA-templated transcription, primary root development, response to sucrose, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",17
"AT1G31710","AT1G31710","Chir01Ox-b30190.2","CuAOalpha3",0.6025,0.176,NA,NA,"aliphatic amine oxidase activity, amine metabolic process, aminoacetone:oxygen oxidoreductase(deaminating) activity, copper ion binding, extracellular region, peroxisome, phenethylamine:oxygen oxidoreductase (deaminating) activity, primary amine oxidase activity, putrescine catabolic process, quinone binding, response to abscisic acid, response to auxin, response to jasmonic acid, response to putrescine, response to salicylic acid, response to water deprivation, response to wounding, tryptamine:oxygen oxidoreductase (deaminating) activity","DEGs",18
"AT4G15920","AT4G15920","Chir07Ox-b12460.2","AtSWEET17",0.629,0.224,NA,NA,"carbohydrate export, chloroplast, fructose export from vacuole to cytoplasm, fructose uniporter activity, plant-type vacuole membrane","DEGs",19
"AT4G12730","AT4G12730","Chir07Ox-b10270.2","AT4G12730.1",0.65,0.2275,NA,NA,"cell differentiation, cell division, cytosol, developmental cell growth, developmental growth, extracellular region, lipid biosynthetic process, membrane, organic hydroxy compound biosynthetic process, plant epidermis development, plant-type cell wall biogenesis, plant-type vacuole, plasma membrane, response to lipid, response to organic cyclic compound, root morphogenesis, unidimensional cell growth","DEGs",20
"AT1G62480","AT1G62480","Chir02Ox-b02980.2","AT1G62480.1",0.896,0.246,NA,NA,"cytosol, nucleus","DEGs",21
"AT2G47930","AT2G47930","Chir04Ox-b30870.2","AGP26",0.654,0.3155,NA,NA,"membrane, molecular_function, plasma membrane","DEGs",22
"AT2G35120","AT2G35120","Chir04Ox-b17280.2","T4C15.21",0.7745,0.372,NA,NA,"ATP binding, cytoplasm, glycine cleavage complex, glycine decarboxylation via glycine cleavage system, mitochondrion, protein lipoylation","DEGs",23
"AT2G28790","AT2G28790","Chir04Ox-b10440.2","F8N16.8",0.868,0.4525,NA,NA,"defense response, extracellular region, molecular_function, plant-type cell wall, plasmodesma, secretory vesicle","DEGs",24
"AT3G53990","AT3G53990","Chir05Ox-b19470.2","USP17",0.937,0.5575,NA,NA,"chaperone-mediated protein folding, cytoplasm, cytosol, nucleic acid binding, nucleus, plasma membrane, plasmodesma, response to cold, response to heat, response to oxidative stress, RNA folding","DEGs",25
